region,countrycode,year,giniS1,povS1,giniS2,povS2,giniS3,povS3,giniS5,povS5
AFE,AGO,2021,51.27,53.19,51.27,53.19,51.27,53.19,51.27,53.19
AFE,AGO,2022,51.5,53.3,51.05,53.17,51.27,53.22,51.27,52.65
AFE,AGO,2023,51.6,52.92,50.96,52.78,51.27,52.85,51.27,52.54
AFE,AGO,2024,51.73,52.68,50.82,52.42,51.27,52.55,51.27,52.39
AFE,BDI,2021,38.62,87.2,38.62,87.2,38.62,87.2,38.62,87.2
AFE,BDI,2022,39.25,87.92,38,87.36,38.62,87.65,38.62,87.15
AFE,BDI,2023,39.76,87.83,37.48,86.98,38.62,87.37,38.62,86.81
AFE,BDI,2024,40.37,87.25,36.85,85.24,38.62,86.46,38.62,85.5
AFE,BWA,2021,53.33,12.31,53.33,12.31,53.33,12.31,53.33,12.31
AFE,BWA,2022,53.65,12.51,53.11,11.51,53.33,12.07,53.33,12.07
AFE,BWA,2023,53.84,12.49,52.98,11.06,53.33,11.51,53.33,11.54
AFE,BWA,2024,54.03,12.42,52.86,10.55,53.33,11.17,53.33,11.17
AFE,COD,2021,42.1,72.13,42.1,72.13,42.1,72.13,42.1,72.13
AFE,COD,2022,42.12,70.99,42.07,71.45,42.1,71.13,42.1,71.13
AFE,COD,2023,42.14,69.87,42.05,70.58,42.1,70.14,42.1,70.14
AFE,COD,2024,42.15,68.9,42.03,69.75,42.1,69.17,42.1,69.17
AFE,COM,2021,45.33,19.18,45.33,19.18,45.33,19.18,45.33,19.18
AFE,COM,2022,45.35,18.95,45.32,18.81,45.33,18.91,45.33,18.64
AFE,COM,2023,45.38,18.65,45.29,18.45,45.33,18.64,45.33,18.12
AFE,COM,2024,45.4,18.38,45.27,18.11,45.33,18.12,45.33,18.1
AFE,ETH,2021,34.99,24.54,34.99,24.54,34.99,24.54,34.99,24.54
AFE,ETH,2022,35.06,24.35,34.92,24.42,34.99,24.39,34.99,24.39
AFE,ETH,2023,35.11,23.87,34.87,23.99,34.99,23.92,34.99,23.92
AFE,ETH,2024,35.15,23.22,34.83,23.39,34.99,23.32,34.99,23.32
AFE,KEN,2021,40.78,34.28,40.78,34.28,40.78,34.28,40.78,34.28
AFE,KEN,2022,40.86,33.84,40.71,33.1,40.78,33.4,40.78,33.32
AFE,KEN,2023,40.93,33.27,40.65,31.76,40.78,32.52,40.78,32.29
AFE,KEN,2024,40.98,32.8,40.61,30.8,40.78,31.61,40.78,31.31
AFE,MDG,2021,42.65,80.57,42.65,80.57,42.65,80.57,42.65,80.57
AFE,MDG,2022,42.74,80.48,42.53,80.77,42.65,80.57,42.65,80.5
AFE,MDG,2023,42.81,80.01,42.44,80.61,42.65,80.22,42.65,80.03
AFE,MDG,2024,42.88,79.83,42.36,80.21,42.65,79.85,42.65,79.67
AFE,MOZ,2021,54,63.51,54,63.51,54,63.51,54,63.51
AFE,MOZ,2022,54.22,64.09,53.86,62.81,54,63.25,54,63.26
AFE,MOZ,2023,54.41,63.68,53.75,61.3,54,62.24,54,60.71
AFE,MOZ,2024,54.6,63.31,53.63,59.22,54,61.1,54,60.35
AFE,MWI,2021,38.54,74.26,38.54,74.26,38.54,74.26,38.54,74.26
AFE,MWI,2022,38.61,74.59,38.48,74.25,38.54,74.39,38.54,74.32
AFE,MWI,2023,38.69,74.38,38.4,73.42,38.54,73.95,38.54,73.76
AFE,MWI,2024,38.75,74.12,38.34,72.6,38.54,73.38,38.54,73.23
AFE,RWA,2021,43.71,53.61,43.71,53.61,43.71,53.61,43.71,53.61
AFE,RWA,2022,43.84,52.53,43.61,51.32,43.71,51.79,43.71,51.79
AFE,RWA,2023,44,52.06,43.49,49.02,43.71,50.38,43.71,50.38
AFE,RWA,2024,44.13,51.57,43.39,47.13,43.71,49.1,43.71,49.1
AFE,SDN,2021,34.24,21.46,34.24,21.46,34.24,21.46,34.24,21.46
AFE,SDN,2022,34.52,24.07,33.95,20.74,34.24,22.31,34.24,22
AFE,SDN,2023,34.63,24.95,33.83,20.19,34.24,22.7,34.24,22.14
AFE,SDN,2024,34.7,25.39,33.75,19.74,34.24,22.52,34.24,22.09
AFE,SOM,2021,36.84,69.84,36.84,69.84,36.84,69.84,36.84,69.84
AFE,SOM,2022,36.92,70.62,36.76,69.18,36.84,69.88,36.84,69.72
AFE,SOM,2023,36.96,70.5,36.72,68.29,36.84,69.41,36.84,69.4
AFE,SOM,2024,37.01,70.5,36.67,67.36,36.84,68.93,36.84,68.74
AFE,SSD,2021,44.18,79.25,44.18,79.25,44.18,79.25,44.18,79.25
AFE,SSD,2022,44.4,82.47,43.87,76.3,44.18,80.23,44.18,79.5
AFE,SSD,2023,44.44,82.82,43.82,75.73,44.18,80.18,44.18,79.11
AFE,SSD,2024,44.48,82.74,43.78,74.76,44.18,79.59,44.18,78.56
AFE,STP,2021,40.75,25.2,40.75,25.2,40.75,25.2,40.75,25.2
AFE,STP,2022,40.75,25.13,40.75,25.2,40.75,25.2,40.75,25.13
AFE,STP,2023,40.76,24.85,40.74,24.91,40.75,24.91,40.75,24.92
AFE,STP,2024,40.76,24.76,40.74,24.85,40.75,24.82,40.75,24.91
AFE,SYC,2021,32.13,0.58,32.13,0.58,32.13,0.58,32.13,0.58
AFE,SYC,2022,32.16,0.51,32.1,0.51,32.13,0.51,32.13,0.45
AFE,SYC,2023,32.19,0.45,32.08,0.45,32.13,0.45,32.13,0.4
AFE,SYC,2024,32.22,0.4,32.05,0.4,32.13,0.4,32.13,0.4
AFE,TZA,2021,40.49,49.79,40.49,49.79,40.49,49.79,40.49,49.79
AFE,TZA,2022,40.68,49.28,40.35,48.1,40.49,48.6,40.49,48.79
AFE,TZA,2023,40.86,49.33,40.22,46.94,40.49,48.04,40.49,48.02
AFE,TZA,2024,41.03,49.6,40.1,46.14,40.49,47.66,40.49,47.1
AFE,UGA,2021,42.71,41.06,42.71,41.06,42.71,41.06,42.71,41.06
AFE,UGA,2022,42.81,41.42,42.64,40.78,42.71,41.05,42.71,41.05
AFE,UGA,2023,42.91,41.16,42.58,39.5,42.71,40.28,42.71,40.28
AFE,UGA,2024,43.02,40.87,42.51,38.14,42.71,39.31,42.71,39.33
AFE,ZMB,2021,57.14,59.93,57.14,59.93,57.14,59.93,57.14,59.93
AFE,ZMB,2022,57.3,59.86,56.96,59.8,57.14,59.86,57.14,59.8
AFE,ZMB,2023,57.46,59.74,56.79,59.5,57.14,59.67,57.14,59.57
AFE,ZMB,2024,57.62,59.44,56.63,59.1,57.14,59.27,57.14,59.21
AFE,ZWE,2021,50.37,40.92,50.37,40.92,50.37,40.92,50.37,40.92
AFE,ZWE,2022,51.13,41.09,49.76,39.04,50.37,40.1,50.37,39.83
AFE,ZWE,2023,51.73,41.08,49.27,37.23,50.37,39.35,50.37,38.94
AFE,ZWE,2024,52.09,40.73,48.97,35.77,50.37,38.6,50.37,37.91
AFW,BEN,2021,37.81,18.31,37.81,18.31,37.81,18.31,37.81,18.31
AFW,BEN,2022,37.81,18.03,37.81,17.99,37.81,18.03,37.81,17.99
AFW,BEN,2023,37.81,17.73,37.8,17.64,37.81,17.71,37.81,17.64
AFW,BEN,2024,37.82,17.49,37.8,17.35,37.81,17.41,37.81,17.38
AFW,BFA,2021,47.35,30.79,47.35,30.79,47.35,30.79,47.35,30.79
AFW,BFA,2022,47.36,30.06,47.34,30.08,47.35,30.06,47.35,30.06
AFW,BFA,2023,47.36,28.77,47.34,28.81,47.35,28.78,47.35,28.81
AFW,BFA,2024,47.36,27.69,47.33,27.72,47.35,27.72,47.35,27.76
AFW,CAF,2021,56.24,71.39,56.24,71.39,56.24,71.39,56.24,71.39
AFW,CAF,2022,56.22,71.04,56.26,70.83,56.24,70.88,56.24,70.88
AFW,CAF,2023,56.2,70.74,56.28,70.47,56.24,70.57,56.24,70.57
AFW,CAF,2024,56.18,70.35,56.29,70.01,56.24,70.27,56.24,70.27
AFW,CIV,2021,37.18,8.75,37.18,8.75,37.18,8.75,37.18,8.75
AFW,CIV,2022,37.15,8.42,37.21,8.65,37.18,8.5,37.18,8.5
AFW,CIV,2023,37.15,8.06,37.21,8.45,37.18,8.25,37.18,8.25
AFW,CIV,2024,37.16,7.85,37.2,8.09,37.18,8.02,37.18,8.02
AFW,CMR,2021,46.64,23.56,46.64,23.56,46.64,23.56,46.64,23.56
AFW,CMR,2022,46.7,23.26,46.6,23.06,46.64,23.13,46.64,23.15
AFW,CMR,2023,46.72,22.75,46.58,22.39,46.64,22.62,46.64,22.75
AFW,CMR,2024,46.8,22.22,46.52,21.7,46.64,22,46.64,22.21
AFW,GAB,2021,38.02,3.61,38.02,3.61,38.02,3.61,38.02,3.61
AFW,GAB,2022,38.1,3.62,37.96,3.55,38.02,3.61,38.02,3.61
AFW,GAB,2023,38.08,3.61,37.97,3.55,38.02,3.6,38.02,3.61
AFW,GAB,2024,38.05,3.58,38,3.5,38.02,3.55,38.02,3.58
AFW,GHA,2021,43.52,10.16,43.52,10.16,43.52,10.16,43.52,10.16
AFW,GHA,2022,43.59,9.44,43.43,9.67,43.52,9.54,43.52,9.54
AFW,GHA,2023,43.66,9.09,43.35,9.37,43.52,9.23,43.52,9.29
AFW,GHA,2024,43.73,8.61,43.27,9.08,43.52,8.8,43.52,8.85
AFW,GIN,2021,29.59,21.08,29.59,21.08,29.59,21.08,29.59,21.08
AFW,GIN,2022,29.63,20.1,29.54,20.55,29.59,20.21,29.59,20.2
AFW,GIN,2023,29.66,18.71,29.51,19.35,29.59,19.04,29.59,19.04
AFW,GIN,2024,29.69,17.64,29.47,18.48,29.59,18.11,29.59,18.11
AFW,GMB,2021,35.92,8.46,35.92,8.46,35.92,8.46,35.92,8.46
AFW,GMB,2022,35.97,7.87,35.87,7.71,35.92,7.79,35.92,7.67
AFW,GMB,2023,36.02,7.06,35.81,6.85,35.92,7.01,35.92,6.77
AFW,GMB,2024,36.07,6.46,35.75,6,35.92,6.22,35.92,5.92
AFW,GNB,2021,34.77,23.41,34.77,23.41,34.77,23.41,34.77,23.41
AFW,GNB,2022,34.82,22.61,34.7,22.63,34.77,22.61,34.77,22.32
AFW,GNB,2023,34.89,21.61,34.63,21.65,34.77,21.65,34.77,21.13
AFW,GNB,2024,34.93,20.51,34.59,20.58,34.77,20.54,34.77,19.83
AFW,LBR,2021,35.27,50.57,35.27,50.57,35.27,50.57,35.27,50.57
AFW,LBR,2022,35.35,50.01,35.19,49.17,35.27,49.42,35.27,49.33
AFW,LBR,2023,35.26,47.59,35.27,47.59,35.27,47.59,35.27,47.18
AFW,LBR,2024,35.23,45.99,35.29,46.28,35.27,46.12,35.27,45.99
AFW,MLI,2021,36.14,17.6,36.14,17.6,36.14,17.6,36.14,17.6
AFW,MLI,2022,36.19,17.53,36.08,17.54,36.14,17.54,36.14,17.54
AFW,MLI,2023,36.22,16.23,36.04,16.33,36.14,16.27,36.14,16.27
AFW,MLI,2024,36.24,15.5,36.01,15.53,36.14,15.53,36.14,15.53
AFW,NER,2021,37.28,41.79,37.28,41.79,37.28,41.79,37.28,41.79
AFW,NER,2022,37.31,41.21,37.25,40.82,37.28,41.01,37.28,40.62
AFW,NER,2023,37.35,39.07,37.22,38.29,37.28,38.68,37.28,38.48
AFW,NER,2024,37.38,35.32,37.18,34.3,37.28,34.79,37.28,34.56
AFW,NGA,2021,35.13,40.68,35.13,40.68,35.13,40.68,35.13,40.68
AFW,NGA,2022,35.25,40.48,35,39.75,35.13,40.18,35.13,40.14
AFW,NGA,2023,35.35,40.15,34.89,38.8,35.13,39.58,35.13,39.29
AFW,NGA,2024,35.46,40,34.78,37.88,35.13,38.87,35.13,39.09
AFW,SLE,2021,35.69,42.84,35.69,42.84,35.69,42.84,35.69,42.84
AFW,SLE,2022,35.83,42.14,35.56,41.57,35.69,41.71,35.69,41.68
AFW,SLE,2023,36.08,41.19,35.32,39.38,35.69,40.28,35.69,40.05
AFW,SLE,2024,36.31,40,35.1,37.13,35.69,38.76,35.69,38.49
AFW,TCD,2021,37.5,37.85,37.5,37.85,37.5,37.85,37.5,37.85
AFW,TCD,2022,37.55,38.69,37.46,37.3,37.5,37.85,37.5,38.03
AFW,TCD,2023,37.56,38.4,37.45,36.84,37.5,37.57,37.5,37.75
AFW,TCD,2024,37.57,37.85,37.43,36.23,37.5,36.91,37.5,37.11
AFW,TGO,2021,42.35,22.35,42.35,22.35,42.35,22.35,42.35,22.35
AFW,TGO,2022,42.44,21.82,42.28,21.52,42.35,21.62,42.35,21.42
AFW,TGO,2023,42.5,20.83,42.24,20.3,42.35,20.59,42.35,20.21
AFW,TGO,2024,42.54,20,42.2,18.84,42.35,19.41,42.35,19.17
